,State,County_x,# Killed,# Injured,County FIPS,State FIPS,Total Victims,County_y,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017
0,Alabama,Autauga,3,1,001,01,4,Autauga,"54,903","7,204",13.1,"54,860","6,966",12.7,"54,939","7,444",13.5,"55,021","7,390",13.4
1,Alabama,Blount,1,4,009,01,5,Blount,"57,155","10,000",17.5,"57,116","8,399",14.7,"57,155","8,033",14.1,"57,452","7,343",12.8
2,Alabama,Calhoun,0,4,015,01,4,Calhoun,"113,010","23,114",20.5,"112,727","22,579",20.0,"111,768","19,057",17.1,"111,883","19,832",17.7
3,Alabama,Chambers,2,7,017,01,9,Chambers,"33,604","7,170",21.3,"33,653","7,532",22.4,"33,378","6,656",19.9,"33,242","6,036",18.2
4,Alabama,Cherokee,3,1,019,01,4,Cherokee,"25,695","4,768",18.6,"25,519","4,961",19.4,"25,389","4,273",16.8,"25,518","4,381",17.2
5,Alabama,Coffee,0,4,031,01,4,Coffee,"50,187","8,407",16.8,"50,491","8,196",16.2,"50,513","7,271",14.4,"51,206","7,954",15.5
6,Alabama,Covington,1,4,039,01,5,Covington,"37,310","7,778",20.8,"37,233","8,319",22.3,"36,863","7,228",19.6,"36,490","6,447",17.7
7,Alabama,Dale,0,4,045,01,4,Dale,"48,443","10,865",22.4,"48,529","8,980",18.5,"48,198","9,936",20.6,"48,173","8,528",17.7
8,Alabama,Elmore,2,2,051,01,4,Elmore,"75,463","10,867",14.4,"75,978","10,609",14.0,"76,343","10,316",13.5,"76,290","9,151",12.0
9,Alabama,Greene,0,5,063,01,5,Greene,"8,499","2,819",33.2,"8,426","3,175",37.7,"8,370","2,845",34.0,"8,277","2,752",33.2
10,Alabama,Jefferson,4,26,073,01,30,Jefferson,"645,857","125,778",19.5,"645,500","115,897",18.0,"644,431","98,463",15.3,"643,726","107,752",16.7
11,Alabama,Madison,0,5,089,01,5,Madison,"342,440","48,750",14.2,"345,115","45,877",13.3,"348,724","47,081",13.5,"352,724","44,979",12.8
12,Alabama,Mobile,5,9,097,01,14,Mobile,"408,065","80,016",19.6,"408,139","75,204",18.4,"407,644","79,364",19.5,"406,795","80,116",19.7
13,Alabama,Montgomery,1,8,101,01,9,Montgomery,"216,905","48,844",22.5,"217,034","49,457",22.8,"217,282","40,760",18.8,"217,404","46,315",21.3
