,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS,Density,Type,Population 2014,Population 2015,Population 2016,Population 2017,Land Area,Density 2014,Density 2015,Density 2016,Density 2017
0,2014-12-29,Orleans Parish,Louisiana,70113,30.06,-89.93,0,4,22,071,6907.57,Urban,8011.0,7841.0,8321.0,8276.0,1.02,7853.921568627451,7687.254901960784,8157.843137254902,8113.725490196079
1,2014-12-27,Los Angeles,California,90003,33.96,-118.27,1,3,06,037,18661.22,Urban,66913.0,69502.0,70208.0,70490.0,3.55,18848.732394366198,19578.028169014084,19776.901408450703,19856.338028169015
2,2014-12-27,Sacramento,California,95838,38.64,-121.44,0,4,06,067,4053.81,Urban,35935.0,37133.0,37286.0,38051.0,9.07,3961.962513781698,4094.046306504961,4110.915104740904,4195.259095920617
3,2014-12-26,St. Clair,Illinois,62205,38.61,-90.13,1,3,17,163,1847.33,Suburban,8645.0,8745.0,8391.0,8547.0,5.05,1711.881188118812,1731.6831683168318,1661.5841584158416,1692.4752475247526
4,2014-12-24,St. Louis City,Missouri,63103,38.63,-90.24,1,3,29,189,3195.92,Urban,6921.0,7359.0,7265.0,7964.0,2.16,3204.1666666666665,3406.9444444444443,3363.4259259259256,3687.037037037037
5,2014-12-23,Clark,Kentucky,40391,37.99,-84.18,1,3,21,049,147.27,Rural,35351.0,35360.0,35365.0,35381.0,239.43,147.64649375600385,147.68408303053084,147.7049659608236,147.7717913377605
6,2014-12-22,Wayne,Michigan,48215,42.38,-83.1,1,3,26,163,3379.42,Urban,12606.0,12663.0,12180.0,12010.0,4.01,3143.640897755611,3157.85536159601,3037.406483790524,2995.01246882793
7,2014-12-22,Monroe,New York,14580,43.21,-77.42,4,2,36,055,1187.6,Suburban,50946.0,51416.0,51928.0,51917.0,42.6,1195.9154929577464,1206.9483568075118,1218.9671361502346,1218.7089201877934
8,2014-12-22,Cook,Illinois,60621,41.83,-87.68,0,5,17,031,9633.05,Urban,32619.0,31881.0,31383.0,30496.0,3.73,8745.040214477212,8547.184986595174,8413.672922252012,8175.871313672922
9,2014-12-21,Sarasota,Florida,34234,27.33,-82.54,2,2,12,115,2980.12,Suburban,20349.0,20519.0,21405.0,21985.0,6.64,3064.60843373494,3090.2108433734943,3223.644578313253,3310.9939759036147
10,2014-12-21,Wayne,Mississippi,39367,31.67,-88.64,1,4,28,153,32.06,Rural,14642.0,14505.0,14762.0,15135.0,470.95,31.090349293980253,30.799447924408113,31.345153413313515,32.13716955090774
11,2014-12-21,Cook,Illinois,60409,41.61,-87.54,1,8,17,031,4997.45,Urban,37463.0,37480.0,37250.0,37190.0,7.45,5028.5906040268455,5030.872483221477,5000.0,4991.946308724832
12,2014-12-20,Winnebago,Illinois,61101,42.27,-89.06,4,0,17,201,518.6,Rural,22272.0,21097.0,20622.0,19595.0,41.63,534.9987989430699,506.77396108575545,495.3639202498198,470.6942109055969
13,2014-12-16,Union,New Jersey,07201,40.66,-74.19,0,4,34,039,3951.7,Urban,24948.0,26177.0,26446.0,27005.0,6.65,3751.578947368421,3936.390977443609,3976.8421052631575,4060.9022556390973
14,2014-12-15,Montgomery,Pennsylvania,19446,40.24,-75.28,7,0,42,091,2444.82,Suburban,54910.0,55072.0,56019.0,56300.0,22.55,2435.0332594235033,2442.2172949002215,2484.212860310421,2496.6740576496672
15,2014-12-14,Miami-Dade,Florida,33136,25.77,-80.2,1,4,12,086,9671.11,Urban,13262.0,13376.0,13687.0,13931.0,1.43,9274.125874125875,9353.846153846154,9571.328671328672,9741.958041958042
16,2014-12-13,Hillsborough,Florida,33604,27.95,-82.48,0,5,12,057,4766.93,Urban,37740.0,37851.0,38460.0,38088.0,7.44,5072.58064516129,5087.5,5169.354838709677,5119.354838709677
17,2014-12-12,Multnomah,Oregon,97217,45.58,-122.7,0,4,41,051,2432.72,Suburban,31708.0,32275.0,32371.0,34327.0,12.92,2454.1795665634677,2498.0650154798764,2505.495356037152,2656.888544891641
18,2014-12-07,St. Joseph,Indiana,46614,41.67,-86.26,0,4,18,141,558.94,Rural,30236.0,30179.0,30581.0,30504.0,52.91,571.4609714609715,570.3836703836704,577.9814779814781,576.5261765261765
19,2014-12-02,St. Louis City,Missouri,63111,38.63,-90.24,1,5,29,189,6275.25,Urban,21294.0,22327.0,21380.0,21334.0,3.24,6572.222222222222,6891.049382716049,6598.765432098765,6584.567901234567
20,2014-12-02,Newport News City,Virginia,23605,37.07,-76.51,0,5,51,700,3686.54,Urban,13206.0,12829.0,13023.0,13189.0,3.76,3512.2340425531916,3411.968085106383,3463.563829787234,3507.712765957447
21,2014-11-30,Kings,New York,11212,40.64,-73.94,0,4,36,047,54941.48,Urban,87751.0,88668.0,86469.0,82831.0,1.54,56981.16883116883,57576.62337662338,56148.7012987013,53786.36363636363
22,2014-11-30,Hamilton,Tennessee,37404,35.06,-85.25,0,5,47,065,2704.34,Suburban,11982.0,11856.0,11868.0,11857.0,4.93,2430.425963488844,2404.868154158215,2407.3022312373228,2405.0709939148073
23,2014-11-29,Essex,New Jersey,07103,40.72,-74.17,1,3,34,013,15372.83,Urban,31737.0,31363.0,31924.0,32610.0,2.13,14900.0,14724.413145539907,14987.793427230048,15309.859154929578
24,2014-11-29,Fulton,Georgia,30315,33.7,-84.38,3,2,13,121,2992.49,Suburban,34159.0,33461.0,33710.0,34973.0,11.31,3020.2475685234303,2958.5322723253757,2980.548187444739,3092.2192749778956
25,2014-11-28,Shelby,Tennessee,38116,35.1,-90.0,0,4,47,157,2125.41,Suburban,41491.0,40642.0,40033.0,40446.0,19.01,2182.5881115202524,2137.9274066280905,2105.8916359810623,2127.6170436612306
26,2014-11-27,Williamson,Texas,78626,30.64,-97.68,2,3,48,491,279.31,Rural,28092.0,28876.0,30163.0,32529.0,93.05,301.90220311660397,310.32778076303066,324.1590542718968,349.586243954863
