,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS
0,2014-12-29,Orleans Parish,Louisiana,70113,30.06,-89.93,0,4,22,071
1,2014-12-27,Los Angeles,California,90003,33.96,-118.27,1,3,06,037
2,2014-12-27,Sacramento,California,95838,38.64,-121.44,0,4,06,067
3,2014-12-26,St. Clair,Illinois,62205,38.61,-90.13,1,3,17,163
4,2014-12-24,St. Louis City,Missouri,63103,38.63,-90.24,1,3,29,189
5,2014-12-23,Clark,Kentucky,40391,37.99,-84.18,1,3,21,049
6,2014-12-22,Wayne,Michigan,48215,42.38,-83.1,1,3,26,163
7,2014-12-22,Monroe,New York,14580,43.21,-77.42,4,2,36,055
8,2014-12-22,Cook,Illinois,60621,41.83,-87.68,0,5,17,031
9,2014-12-21,Sarasota,Florida,34234,27.33,-82.54,2,2,12,115
10,2014-12-21,Wayne,Mississippi,39367,31.67,-88.64,1,4,28,153
11,2014-12-21,Cook,Illinois,60409,41.61,-87.54,1,8,17,031
12,2014-12-20,Winnebago,Illinois,61101,42.27,-89.06,4,0,17,201
13,2014-12-16,Union,New Jersey,07201,40.66,-74.19,0,4,34,039
14,2014-12-15,Montgomery,Pennsylvania,19446,40.24,-75.28,7,0,42,091
15,2014-12-14,Miami-Dade,Florida,33136,25.77,-80.2,1,4,12,086
16,2014-12-13,Hillsborough,Florida,33604,27.95,-82.48,0,5,12,057
17,2014-12-12,Multnomah,Oregon,97217,45.58,-122.7,0,4,41,051
18,2014-12-07,St. Joseph,Indiana,46614,41.67,-86.26,0,4,18,141
19,2014-12-02,St. Louis City,Missouri,63111,38.63,-90.24,1,5,29,189
20,2014-12-02,Newport News City,Virginia,23605,37.07,-76.51,0,5,51,700
21,2014-11-30,Kings,New York,11212,40.64,-73.94,0,4,36,047
22,2014-11-30,Hamilton,Tennessee,37404,35.06,-85.25,0,5,47,065
23,2014-11-29,Essex,New Jersey,07103,40.72,-74.17,1,3,34,013
24,2014-11-29,Fulton,Georgia,30315,33.7,-84.38,3,2,13,121
25,2014-11-28,Shelby,Tennessee,38116,35.1,-90.0,0,4,47,157
26,2014-11-27,Williamson,Texas,78626,30.64,-97.68,2,3,48,491
27,2014-11-26,San Francisco,California,94103,37.77,-122.41,0,6,06,075
28,2014-11-23,None,Virginia,NaN,37.7820725,-75.6535401,0,4,,
29,2014-11-23,Denver,Colorado,80204,39.76,-104.87,1,4,08,031
30,2014-11-22,Cuyahoga,Ohio,44106,41.47,-81.67,4,1,39,035
31,2014-11-22,Roberts,South Dakota,57262,45.66,-97.04,4,1,46,109
32,2014-11-22,Clark,Ohio,45505,39.92,-83.79,1,3,39,023
