,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
0,2014-12-29,Louisiana,New Orleans,Poydras and Bolivar,0,4,LA,70113,30.06,-89.93,8011,6907.57,Urban
1,2014-12-27,California,Los Angeles,8800 block of South Figueroa Street,1,3,CA,90003,33.96,-118.27,66913,18661.22,Urban
2,2014-12-27,California,Sacramento,4000 block of May Street,0,4,CA,95838,38.64,-121.44,35935,4053.81,Urban
3,2014-12-26,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,IL,62205,38.61,-90.13,8645,1847.33,Suburban
4,2014-12-24,Missouri,Saint Louis,18th and Pine,1,3,MO,63103,38.63,-90.24,6921,3195.92,Urban
5,2014-12-23,Kentucky,Winchester,260 Oxford Drive,1,3,KY,40391,37.99,-84.18,35351,147.27,Rural
6,2014-12-22,Michigan,Detroit,Charlevoix at Philip,1,3,MI,48215,42.38,-83.1,12606,3379.42,Urban
7,2014-12-22,New York,Webster,191 Lake Road,4,2,NY,14580,43.21,-77.42,50946,1187.6,Suburban
8,2014-12-22,Illinois,Chicago,5700 block of South Green Street,0,5,IL,60621,41.83,-87.68,32619,9633.05,Urban
9,2014-12-21,Florida,Sarasota,4034 N Washington Blvd,2,2,FL,34234,27.33,-82.54,20349,2980.12,Suburban
10,2014-12-21,Mississippi,Waynesboro,Central Avenue,1,4,MS,39367,31.67,-88.64,14642,32.06,Rural
11,2014-12-21,Illinois,Calumet City,600 block of Escanba,1,8,IL,60409,41.61,-87.54,37463,4997.45,Urban
12,2014-12-20,Illinois,Rockford,3200 block of Montrose Avenue,4,0,IL,61101,42.27,-89.06,22272,518.6,Rural
13,2014-12-16,New Jersey,Elizabeth,Anna Street,0,4,NJ,07201,40.66,-74.19,24948,3951.7,Urban
14,2014-12-15,Pennsylvania,Lansdale,100 block of West 5th St,7,0,PA,19446,40.24,-75.28,54910,2444.82,Suburban
15,2014-12-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,FL,33136,25.77,-80.2,13262,9671.11,Urban
16,2014-12-13,Florida,Tampa,810 E. Skagway Ave.,0,5,FL,33604,27.95,-82.48,37740,4766.93,Urban
17,2014-12-12,Oregon,Portland,717 North Killingsworth Court,0,4,OR,97217,45.58,-122.7,31708,2432.72,Suburban
18,2014-12-07,Indiana,South Bend,16000 block of Roosevelt Road,0,4,IN,46614,41.67,-86.26,30236,558.94,Rural
19,2014-12-02,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,MO,63111,38.63,-90.24,21294,6275.25,Urban
20,2014-12-02,Virginia,Newport News,6128 Jefferson Ave ,0,5,VA,23605,37.07,-76.51,13206,3686.54,Urban
21,2014-11-30,New York,Brooklyn,375 Remsen Avenue,0,4,NY,11212,40.64,-73.94,87751,54941.48,Urban
22,2014-11-30,Tennessee,Chattanooga,2412 East 13th Street ,0,5,TN,37404,35.06,-85.25,11982,2704.34,Suburban
23,2014-11-29,New Jersey,Newark,348 S Orange Ave,1,3,NJ,07103,40.72,-74.17,31737,15372.83,Urban
24,2014-11-29,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,GA,30315,33.7,-84.38,34159,2992.49,Suburban
25,2014-11-28,Tennessee,Memphis,1849 East Brooks Road ,0,4,TN,38116,35.1,-90.0,41491,2125.41,Suburban
26,2014-11-27,Texas,Georgetown,Pvt Rd 934,2,3,TX,78626,30.64,-97.68,28092,279.31,Rural
27,2014-11-26,California,San Francisco,Mission and 13th streets,0,6,CA,94103,37.77,-122.41,24108,20036.87,Urban
28,2014-11-23,Virginia,Parksley,NaN,0,4,VA,NaN,37.7820725,-75.6535401,NaN,,
29,2014-11-23,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,CO,80204,39.76,-104.87,31133.0,5664.21,Urban
30,2014-11-22,Ohio,Cleveland,1443 E 92nd St,4,1,OH,44106,41.47,-81.67,26837.0,6379.51,Urban
31,2014-11-22,South Dakota,Sisseton,Fourth Avenue,4,1,SD,57262,45.66,-97.04,5452.0,14.33,Rural
32,2014-11-22,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,OH,45505,39.92,-83.79,19396.0,1498.96,Suburban
33,2014-11-21,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,PA,15122,40.35,-79.9,20120.0,1596.68,Suburban
34,2014-11-19,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,IL,60624,41.83,-87.68,39706.0,10779.35,Urban
35,2014-11-18,Nevada,North Las Vegas,Charlevoix at Philip,0,4,NV,89128,36.19,-115.26,38213.0,5943.84,Urban
36,2014-11-16,Ohio,Akron,1891 E Market St,1,4,OH,44305,41.08,-81.52,21726.0,3405.22,Urban
