,Year,State,County,Incidents,Injured,Killed,Victims,Land Area,Density 2014,Density 2015,Density 2016,Density 2017,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017,Pop Change 1,Pop Change 1 (%),Pop Change 2,Pop Change 2 (%),Pop Change 3,Pop Change 3 (%),Pop Change Avg,Pop Change Avg (%),Den Change 1,Den Change 1 (%),Den Change 2,Den Change 2 (%),Den Change 3,Den Change 3 (%),Den Change Avg,Den Change Avg (%),Poverty Rate Change 1,Poverty Rate Change 1 (%),Poverty Rate Change 2,Poverty Rate Change 2 (%),Poverty Rate Change 3,Poverty Rate Change 3 (%),Poverty Rate Change Avg,Poverty Rate Change Avg (%),Region
0,2014,Alabama,Covington,1,4,1,5,165.55,61.78193899124131,61.298701298701296,59.383871942011474,58.27242524916942,37310.0,"7,778",20.8,37233.0,"8,319",22.3,36863.0,"7,228",19.6,36490.0,"6,447",17.7,-77.0,-0.20637898686679534,-370.0,-0.9937421104933719,-373.0,-99.8,-571.3333333333334,-34.46678776402683,-0.4832376925400155,-0.7821666014861108,-1.9148293566898218,-3.12376823019315,-1.1114466928420512,-1.8716305564032325,-2.768549280177188,-4.529811683813672,1.5,7.211538461538453,-2.6999999999999993,-12.107623318385649,-1.9000000000000021,-9.693877551020407,-1.8333333333333335,-8.127377373853998,Southeast
1,2017,Alabama,None,1,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,Southeast
2,2017,Alabama,Jefferson,2,10,0,10,28.67,1636.2399720962676,1676.3864666899194,1725.6714335542379,1688.803627485176,645857.0,"125,778",19.5,645500.0,"115,897",18.0,644431.0,"98,463",15.3,643726.0,"107,752",16.7,-357.0,-0.05527539377911239,-1069.0,-0.16560805577071847,-705.0,-99.8,-1661.0,-33.4875501162165,40.14649459365182,2.4535823154483865,49.28496686431845,2.9399525612750352,-36.86780606906177,-2.136432541687725,77.14219276828301,4.681390696160847,-1.5,-7.692307692307693,-2.6999999999999993,-14.999999999999986,1.3999999999999986,9.150326797385617,-3.733333333333333,-19.642198759845808,Southeast
3,2017,Alabama,Chambers,1,7,2,9,87.92,138.1596906278435,136.4877161055505,135.0090991810737,132.74567788898997,33604.0,"7,170",21.3,33653.0,"7,532",22.4,33378.0,"6,656",19.9,33242.0,"6,036",18.2,49.0,0.14581597428878013,-275.0,-0.8171634029655621,-136.0,-99.8,-271.3333333333333,-33.93801409534345,-1.6719745222929987,-1.2101753519387586,-1.4786169244767962,-1.0833333333333428,-2.263421292083734,-1.6764953664701068,-3.9050652107977064,-2.8523404740954703,1.0999999999999979,5.164319248826274,-2.5,-11.160714285714292,-1.6999999999999993,-8.542713567839186,-1.9666666666666686,-8.843966226167746,Southeast
4,2017,Alabama,Autauga,1,1,3,4,239.23,119.06115453747441,117.42674413744095,117.10487815073358,118.02449525561177,54903.0,"7,204",13.1,54860.0,"6,966",12.7,54939.0,"7,444",13.5,55021.0,"7,390",13.4,-43.0,-0.07831994608673654,79.0,0.14400291651477914,82.0,0.14925644806058358,63.33333333333333,0.11543511978157048,-1.6344104000334596,-1.372748657093723,-0.32186598670736544,-0.2740993877260536,0.0,0.0,-1.956276386740825,-1.6468480448197766,-0.40000000000000036,-3.053435114503827,0.8000000000000007,6.299212598425214,-0.09999999999999964,-0.7407407407407476,0.36666666666666714,2.998863903674471,Southeast
5,2015,Alabama,Mobile,1,4,0,4,220.07,28.945335575044304,30.4902985413732,32.42150224928432,32.4487663016313,408065.0,"80,016",19.6,408139.0,"75,204",18.4,407644.0,"79,364",19.5,406795.0,"80,116",19.7,74.0,0.018134365848581524,-495.0,-0.12128221022740604,-849.0,-99.8,-704.0,-33.36981451104549,1.544962966328896,5.337519623233916,1.9312037079111235,6.333830104321919,0.0,0.0,3.4761666742400195,11.671349727555835,-1.2000000000000028,-6.1224489795918515,1.1000000000000014,5.978260869565233,0.1999999999999993,1.025641025641022,-0.03333333333333499,0.19769223185372198,Southeast
6,2016,Alabama,Tallapoosa,1,5,0,5,181.45,44.023146872416646,43.65389914577019,43.42243042160375,44.9820887296776,40541.0,"8,633",21.3,40224.0,"8,717",21.7,40112.0,"8,111",20.2,40059.0,"7,311",18.3,-317.0,-0.7819244715226574,-112.0,-0.2784407319013553,-53.0,-99.8,-446.6666666666667,-34.32703187009068,-0.36924772664645644,-0.8387581372058008,-0.23146872416644015,-0.5302360813028741,0.0,0.0,-0.6007164508128966,-1.368994218508675,0.3999999999999986,1.8779342723004504,-1.5,-6.9124423963133665,-1.8999999999999986,-9.405940594059402,-1.7333333333333343,-8.16982165536605,Southeast
7,2016,Alabama,Montgomery,1,3,1,4,12.54,660.8452950558216,669.2982456140353,642.4242424242425,641.1483253588518,216905.0,"48,844",22.5,217034.0,"49,457",22.8,217282.0,"40,760",18.8,217404.0,"46,315",21.3,129.0,0.05947304119315788,248.0,0.11426781057346602,122.0,0.056148231330709564,417.6666666666667,0.19245692887686042,8.452950558213729,1.2791118619524582,-26.874003189792802,-4.01525080424166,-1.2759170653906722,-0.19860973187685715,-18.84635832004263,-2.802342186248154,0.3000000000000007,1.3333333333333428,-4.0,-17.54385964912281,2.5,13.297872340425528,-2.866666666666666,-11.77790220231429,Southeast
8,2016,Alabama,Mobile,2,5,5,10,220.07,28.945335575044304,30.4902985413732,32.42150224928432,32.4487663016313,408065.0,"80,016",19.6,408139.0,"75,204",18.4,407644.0,"79,364",19.5,406795.0,"80,116",19.7,74.0,0.018134365848581524,-495.0,-0.12128221022740604,-849.0,-99.8,-704.0,-33.36981451104549,1.544962966328896,5.337519623233916,1.9312037079111235,6.333830104321919,0.0,0.0,3.4761666742400195,11.671349727555835,-1.2000000000000028,-6.1224489795918515,1.1000000000000014,5.978260869565233,0.1999999999999993,1.025641025641022,-0.03333333333333499,0.19769223185372198,Southeast
9,2017,Alabama,Pike,1,4,1,5,217.33,75.25882298808264,73.3170754152671,74.32936087976809,74.03947913311553,31236.0,"8,237",26.4,31181.0,"8,066",25.9,31008.0,"7,793",25.1,31085.0,"8,611",27.7,-55.0,-0.1760788833397413,-173.0,-0.5548250537186163,77.0,0.24832301341588447,-202.33333333333334,-0.6481295992530628,-1.9417475728155438,-2.580092932257287,1.0122854645009909,1.3806953683946261,-0.2898817466525543,-0.3899962857496604,-1.0260893571987377,-1.3293963257792143,-0.5,-1.893939393939391,-0.7999999999999972,-3.0888030888030755,2.599999999999998,10.358565737051777,-0.43333333333333124,-1.5298872370585408,Southeast
