States,Mass Shooting Count,Total_Victims,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rates,Unemployment Count,Unemployment Rates,Latitude,Longitude,Per Capita Mass Shooting,Hate Group Count,Per Capita Hate Group,GRADE number,Gun Check Totals,Election_Result
Alabama,15.0,69.0,01,4841164.0,38.6,44758.0,24736.0,868666.0,17.943329331540927,184479.0,3.8106331452518445,32.7794,-86.8287,3.098428394493556,27.0,0.55771711100884,5.5,621305,R
Alaska,0.0,0.0,02,736855.0,33.6,74444.0,34191.0,72826.0,9.88335561270535,30139.0,4.090221278270487,64.0685,-152.2782,0.0,0.0,0.0,5.5,87623,R
Arizona,4.0,27.0,04,6728577.0,37.1,51340.0,26686.0,1165636.0,17.323662937943638,249972.0,3.7150797263671054,34.2744,-111.6602,0.5944793379045822,18.0,0.267515702057062,5.5,310672,R
Arkansas,3.0,14.0,05,2968472.0,37.7,42336.0,23401.0,542431.0,18.27307112885013,93190.0,3.1393255520011643,34.8938,-92.4426,1.0106209524630854,16.0,0.5389978413136456,5.5,234282,R
California,46.0,228.0,06,38654206.0,36.0,63783.0,31458.0,6004257.0,15.533256587911804,1683726.0,4.355867508958792,37.1841,-119.4696,1.1900386726350038,79.0,0.20437620682209848,0.0,1474616,B
Colorado,4.0,16.0,08,5359295.0,36.4,62520.0,33230.0,637938.0,11.903394009846444,171695.0,3.203686305754768,38.9972,-105.5478,0.7463668262336743,16.0,0.29854673049346975,3.0,413284,B
Connecticut,6.0,36.0,09,3588570.0,40.6,71755.0,39906.0,360464.0,10.044781068782273,155005.0,4.319408566643538,41.6219,-72.7273,1.6719751878882119,5.0,0.13933126565735096,0.5,270297,B
Delaware,2.0,9.0,10,934695.0,39.6,61017.0,31118.0,109448.0,11.70948812179374,33669.0,3.6021375956862935,38.9896,-75.505,2.139735421715105,4.0,0.42794708434302103,1.5,42950,B
District of Columbia,5.0,25.0,11,659009.0,33.8,72935.0,48781.0,112060.0,17.00432012309392,33326.0,5.0569870821187575,38.9101,-77.0147,7.587149796133286,21.0,3.1866029143759795,3.0,512,B
Florida,30.0,267.0,12,19934451.0,41.6,48900.0,27598.0,3139258.0,15.747902964571233,802016.0,4.023266053326475,28.6305,-82.4497,1.5049323404993697,63.0,0.3160357915048676,5.5,1034546,B
Georgia,17.0,81.0,13,10099320.0,36.2,51037.0,26678.0,1746894.0,17.297144758260952,419113.0,4.149913063453777,32.6415,-83.4426,1.6832816466851235,32.0,0.3168530158466114,5.5,484580,R
Hawaii,0.0,0.0,15,1413673.0,38.5,71977.0,30970.0,148577.0,10.509997715171755,38768.0,2.7423597960773107,20.2927,-156.3737,0.0,0.0,0.0,0.5,15225,B
Idaho,0.0,0.0,16,1635483.0,35.7,49174.0,24280.0,244585.0,14.954909344823516,48385.0,2.9584532520362488,44.3509,-114.613,0.0,12.0,0.7337282013937168,5.5,131742,R
Illinois,42.0,190.0,17,12851684.0,37.4,59196.0,31502.0,1753731.0,13.645923755984041,545635.0,4.245630378088973,40.0417,-89.1965,3.268054209860747,32.0,0.24899460646558072,1.0,1344096,B
Indiana,8.0,33.0,18,6589578.0,37.4,50433.0,26117.0,957694.0,14.533464813680027,228929.0,3.4741071431281334,39.8942,-86.2816,1.214038288946576,26.0,0.39456244390763723,5.0,647550,R
Iowa,0.0,0.0,19,3106589.0,38.0,54570.0,28872.0,369828.0,11.904632379757992,75289.0,2.4235262533923865,42.0751,-93.49600000000001,0.0,4.0,0.12875858377146124,3.0,127022,B
Kansas,5.0,36.0,20,2898292.0,36.2,53571.0,28478.0,373162.0,12.875238243765638,79000.0,2.725743299846944,38.4937,-98.3804,1.7251539872449015,7.0,0.2415215582142862,5.5,172167,R
Kentucky,2.0,10.0,21,4411989.0,38.6,44811.0,24802.0,804139.0,18.226224045436197,156509.0,3.5473569857041802,37.5347,-85.3021,0.4533102870383403,23.0,0.5213068300940914,5.5,2492184,R
Louisiana,13.0,69.0,22,4645670.0,36.2,45652.0,25515.0,889570.0,19.148368265503144,168326.0,3.623287921871334,31.0689,-91.9968,2.7983046578857302,14.0,0.30135588623384785,5.5,315357,R
Maine,0.0,0.0,23,1329923.0,44.0,50826.0,28473.0,174405.0,13.113917121517561,41620.0,3.1295044901095777,45.3695,-69.2428,0.0,3.0,0.22557696949372258,5.5,83085,B
Maryland,11.0,59.0,24,5959902.0,38.3,76067.0,37756.0,576835.0,9.678598742059853,216086.0,3.6256636434625937,39.055,-76.7909,1.845667932123716,18.0,0.3020183888929717,0.5,142207,B
Massachusetts,3.0,15.0,25,6742143.0,39.4,70954.0,38069.0,740836.0,10.988138341177278,252347.0,3.7428307290426797,42.2596,-71.8083,0.44496238065552746,12.0,0.17798495226221098,0.5,179344,B
Michigan,11.0,58.0,26,9909600.0,39.5,50803.0,27549.0,1575066.0,15.894344877694357,412934.0,4.167009768305482,44.3467,-85.4102,1.1100347138128683,28.0,0.2825542907887301,3.0,424091,B
Minnesota,5.0,25.0,27,5450868.0,37.8,63217.0,33225.0,577196.0,10.589065814839032,145853.0,2.6757756746265,46.2807,-94.3053,0.9172851002812763,10.0,0.18345702005625525,2.5,481122,B
Mississippi,6.0,29.0,28,2989192.0,36.7,40528.0,21651.0,645553.0,21.59623737785997,128840.0,4.3101948620229145,32.7364,-89.6678,2.007231385605207,18.0,0.6021694156815621,5.5,214829,R
Missouri,10.0,46.0,29,6059651.0,38.3,49593.0,27044.0,897755.0,14.815292167816265,200143.0,3.3028799843423324,38.3566,-92.458,1.650260056230961,24.0,0.39606241349543064,5.5,517063,R
Montana,0.0,0.0,30,1023391.0,39.8,48380.0,27309.0,148677.0,14.527878396429127,29382.0,2.871043423285919,47.0527,-109.6333,0.0,10.0,0.9771436332740858,5.5,121836,R
Nebraska,0.0,0.0,31,1881259.0,36.2,54384.0,28596.0,227021.0,12.067503730214712,42544.0,2.261464264091228,41.5378,-99.7951,0.0,5.0,0.2657794593939484,4.5,68568,R
Nevada,3.0,13.0,32,2839172.0,37.5,53094.0,27253.0,417257.0,14.69643262190526,133525.0,4.7029556504502015,39.3289,-116.6312,1.0566460925931926,4.0,0.14088614567909236,3.5,116735,B
New Hampshire,0.0,0.0,33,1327503.0,42.4,68485.0,35264.0,109690.0,8.262881515145352,37727.0,2.841952146247504,43.6805,-71.5811,0.0,6.0,0.4519763797143961,4.5,124677,B
New Jersey,9.0,45.0,34,8915456.0,39.5,73702.0,37538.0,949341.0,10.648260728335153,368870.0,4.137421574398438,40.1907,-74.6728,1.0094828576351003,15.0,0.16824714293918336,0.5,92320,B
New Mexico,4.0,18.0,35,2082669.0,37.2,45674.0,24459.0,426814.0,20.493607001400605,81175.0,3.8976428803616896,34.4071,-106.1126,1.9206124448964286,2.0,0.09603062224482144,5.5,139780,B
New York,15.0,74.0,36,19697457.0,38.2,60741.0,34212.0,2967564.0,15.065721427898028,759224.0,3.854426487642542,42.9538,-75.5268,0.7615196215430245,47.0,0.23860948141681437,0.5,365427,B
North Carolina,9.0,41.0,37,9940828.0,38.3,48256.0,26779.0,1631704.0,16.414165902478143,404584.0,4.069922545687342,35.5557,-79.3877,0.9053571795025526,31.0,0.3118452507175459,5.0,1182349,R
North Dakota,0.0,0.0,38,736162.0,35.2,59114.0,33107.0,79314.0,10.773987247372181,11250.0,1.528196239414694,47.4501,-100.4659,0.0,1.0,0.1358396657257506,5.5,70548,R
Ohio,11.0,54.0,39,11586941.0,39.3,50674.0,27800.0,1732839.0,14.955103335729422,423956.0,3.6589122185052982,40.2862,-82.7937,0.9493446113171716,35.0,0.30206419451000915,4.5,596389,B
Oklahoma,1.0,6.0,40,3875589.0,36.2,48038.0,25628.0,621155.0,16.027370291328623,110120.0,2.841374562679376,35.5889,-97.4943,0.2580252962839971,6.0,0.15481517777039824,5.5,348495,R
Oregon,2.0,8.0,41,3982267.0,39.1,53270.0,28822.0,614223.0,15.423953240704353,160797.0,4.037825690743489,43.9336,-120.5583,0.5022264956116704,11.0,0.27622457258641875,3.0,243044,B
Pennsylvania,10.0,48.0,42,12783977.0,40.6,54895.0,30137.0,1647762.0,12.88927537964125,468440.0,3.664274427277208,40.8781,-77.7996,0.7822291920581522,40.0,0.3128916768232609,3.0,899241,B
Rhode Island,0.0,0.0,44,1054491.0,39.9,58387.0,31904.0,140161.0,13.291815672205832,43600.0,4.134696265781311,41.6762,-71.5562,0.0,1.0,0.0948324831601218,1.0,20400,B
South Carolina,5.0,21.0,45,4834605.0,38.8,46898.0,25521.0,806422.0,16.680204484130556,194454.0,4.022127971157933,33.9169,-80.8964,1.0342106542313179,12.0,0.24821055701551625,5.5,289764,R
South Dakota,0.0,0.0,46,851058.0,36.8,52078.0,27516.0,115300.0,13.5478428027232,18636.0,2.1897449997532483,44.4443,-100.2263,0.0,7.0,0.822505634163594,5.5,83659,R
Tennessee,12.0,58.0,47,6548009.0,38.5,46574.0,26019.0,1100169.0,16.80158044987415,238372.0,3.640373738032431,35.858000000000004,-86.3505,1.8326181286555958,38.0,0.580329074074272,5.5,533394,R
Texas,31.0,157.0,48,26956435.0,34.2,54727.0,27828.0,4397307.0,16.312642973746343,848131.0,3.1463025433444742,31.4757,-99.3312,1.150003700415133,55.0,0.20403291458978162,5.5,1465992,R
Utah,0.0,0.0,49,2948427.0,30.3,62518.0,25600.0,338808.0,11.49114426099069,73114.0,2.4797629380005,39.3055,-111.6703,0.0,3.0,0.10174916998114587,5.5,263812,R
