States,Total_Victims,Unemployment Count,Unemployment Rates,GRADE number,Gun Check Totals,Hate Group Count,Household Income,Latitude,Longitude,Mass Shooting Count,Median Age,Per Capita Hate Group,Per Capita Income,Per Capita Mass Shooting,Population,Poverty Count,Poverty Rates,Election_Result_B,Election_Result_R
Alabama,44.0,165391.0,3.4095816933019516,5.5,621305,23.0,46472.0,32.7794,-86.8287,7.0,38.7,0.47415142871102345,25746.0,1.4430695656422454,4850771.0,849699.0,17.51678238366643,0,1
Alaska,0.0,29548.0,4.00073114756318,5.5,87623,4.0,76114.0,64.0685,-152.2782,0.0,33.9,0.5415907875407039,35065.0,0.0,738565.0,73380.0,9.935482997434214,0,1
Arizona,20.0,225911.0,3.317368449030286,5.5,310672,22.0,53510.0,34.2744,-111.6602,5.0,37.2,0.323056893549523,27964.0,0.7342202126125522,6809946.0,1128046.0,16.564683479134782,0,1
Arkansas,37.0,85128.0,2.858616548867272,5.5,234282,12.0,43813.0,34.8938,-92.4426,3.0,37.9,0.4029625808947381,24426.0,1.0074064522368453,2977944.0,524211.0,17.603118124450962,0,1
California,186.0,1491146.0,3.825133654296722,0.0,1474616,75.0,67169.0,37.1841,-119.4696,37.0,36.1,0.19239231039231178,33128.0,0.9491353979354048,38982847.0,5773408.0,14.81012405276608,1,0
Colorado,12.0,152856.0,2.811652088404363,3.0,413284,21.0,65458.0,38.9972,-105.5478,2.0,36.5,0.3862765861758232,34845.0,0.36788246302459354,5436519.0,612143.0,11.259833728163187,1,0
Connecticut,8.0,140712.0,3.9146713375349633,0.5,270297,6.0,73781.0,41.6219,-72.7273,2.0,40.8,0.1669227075530856,41365.0,0.556409025176952,3594478.0,350783.0,9.758941353932338,1,0
Delaware,4.0,30245.0,3.2048293371423244,1.5,42950,2.0,63036.0,38.9896,-75.505,1.0,39.8,0.21192457180640267,32625.0,1.0596228590320134,943732.0,111304.0,11.79402627016992,1,0
District of Columbia,24.0,31279.0,4.651906405647904,3.0,512,26.0,77649.0,38.9101,-77.0147,5.0,33.9,3.866797741195227,50832.0,7.436149502298514,672391.0,111025.0,16.51196996985385,1,0
Florida,122.0,699117.0,3.4475864941728527,5.5,1034546,66.0,50883.0,28.6305,-82.4497,24.0,41.8,0.3254687106956464,28774.0,1.1835225843478052,20278447.0,3070972.0,15.144019657915619,1,0
Georgia,45.0,372581.0,3.6521694806763816,5.5,484580,40.0,52977.0,32.6415,-83.4426,9.0,36.4,0.3920940123813487,28015.0,0.8822115278580345,10201635.0,1679030.0,16.458440240216397,0,1
Hawaii,0.0,34380.0,2.4183031361973133,0.5,15225,1.0,74923.0,20.2927,-156.3737,0.0,38.8,0.070340405357688,32511.0,0.0,1421658.0,143148.0,10.06908834614232,1,0
Idaho,0.0,42328.0,2.5539180933705405,5.5,131742,12.0,50985.0,44.3509,-114.613,0.0,35.9,0.7240365035070518,25471.0,0.0,1657375.0,236000.0,14.239384568972019,0,1
Illinois,173.0,491310.0,3.82207792025937,1.0,1344096,35.0,61229.0,40.0417,-89.1965,36.0,37.7,0.2722776397978424,32924.0,2.800570009349236,12854526.0,1698613.0,13.214123959140927,1,0
Indiana,33.0,202199.0,3.0569431807908116,5.0,647550,30.0,52182.0,39.8942,-86.2816,7.0,37.5,0.45355464380993155,27305.0,1.0582941688898404,6614418.0,933540.0,14.113713406077451,0,1
Iowa,9.0,69018.0,2.213461907275644,3.5,127022,4.0,56570.0,42.0751,-93.49600000000001,2.0,38.1,0.12828316713180005,30063.0,0.6414158356590003,3118102.0,361343.0,11.588556115226506,1,0
Kansas,19.0,71009.0,2.445365070837724,5.5,172167,4.0,55477.0,38.4937,-98.3804,4.0,36.3,0.1377495850293751,29600.0,1.3774958502937509,2903820.0,361285.0,12.441714706834446,0,1
Kentucky,28.0,140717.0,3.1804937012586634,5.5,2492184,11.0,46535.0,37.5347,-85.3021,6.0,38.6,0.24862263062633014,25888.0,1.3561234397799824,4424376.0,783586.0,17.710655694723958,0,1
Louisiana,69.0,157186.0,3.3705867809337313,5.5,315357,13.0,46710.0,31.0689,-91.9968,15.0,36.4,0.2787629187849968,26205.0,3.216495216749963,4663461.0,887574.0,19.03251683674421,0,1
Maine,5.0,36790.0,2.765836840435497,5.5,83085,3.0,53024.0,45.3695,-69.2428,1.0,44.3,0.225537116643286,29886.0,0.7517903888109533,1330158.0,166904.0,12.547682305410335,1,0
Maryland,34.0,198375.0,3.308412047272893,0.5,142207,19.0,78916.0,39.055,-76.7909,8.0,38.5,0.31687374365814724,39070.0,1.334205236455357,5996079.0,566966.0,9.455612576151848,1,0
Massachusetts,4.0,224856.0,3.3119080131600827,0.5,179344,10.0,74167.0,42.2596,-71.8083,1.0,39.4,0.14729017740954578,39913.0,0.1472901774095458,6789319.0,727546.0,10.71603794136054,1,0
Michigan,34.0,361624.0,3.643358244082354,3.0,424091,29.0,52668.0,44.3467,-85.4102,8.0,39.6,0.2921747148374783,28938.0,0.8059992133447678,9925568.0,1510841.0,15.221708218612779,1,0
Minnesota,17.0,130510.0,2.3769170051464963,2.5,481122,12.0,65699.0,46.2807,-94.3053,4.0,37.9,0.21855033378099725,34712.0,0.7285011126033242,5490726.0,560995.0,10.217137041622546,1,0
Mississippi,65.0,117786.0,3.944317565350175,5.5,214829,15.0,42009.0,32.7364,-89.6678,13.0,36.9,0.5023072647025336,22500.0,4.353329627421958,2986220.0,620007.0,20.762268017761585,0,1
Missouri,48.0,175919.0,2.895643013513736,5.5,517063,18.0,51542.0,38.3566,-92.458,10.0,38.4,0.29628166510295784,28282.0,1.6460092505719883,6075300.0,861679.0,14.183316050236202,0,1
Montana,5.0,25076.0,2.43488933468756,5.5,121836,8.0,50801.0,47.0527,-109.6333,1.0,39.8,0.7768031056588165,28706.0,0.9710038820735205,1029862.0,144198.0,14.001681778723752,0,1
Nebraska,0.0,38881.0,2.0529367381216006,4.5,68568,9.0,56675.0,41.5378,-99.7951,0.0,36.3,0.4752046151872227,29866.0,0.0,1893921.0,220330.0,11.633536984911197,0,1
Nevada,504.0,116285.0,4.026872364923945,4.5,116735,9.0,55434.0,39.3289,-116.6312,2.0,37.7,0.3116640261797782,28450.0,0.6925867248439515,2887725.0,405263.0,14.033988693521717,1,0
New Hampshire,0.0,33566.0,2.5202575669295597,5.5,124677,9.0,71305.0,43.6805,-71.5811,0.0,42.7,0.6757527886065077,36914.0,0.0,1331848.0,104470.0,7.843988202857984,1,0
New Jersey,54.0,328167.0,3.662512314231854,0.5,92320,17.0,76475.0,40.1907,-74.6728,13.0,39.6,0.18972873366895976,39069.0,1.4508667868802805,8960161.0,938252.0,10.471374342492282,1,0
New Mexico,11.0,73710.0,3.5355434597002726,5.5,139780,1.0,46718.0,34.4071,-106.1126,2.0,37.3,0.047965587568854606,25257.0,0.9593117513770921,2084828.0,420293.0,20.159600696076605,1,0
New York,60.0,685368.0,3.4617643558807383,0.5,365427,48.0,62765.0,42.9538,-75.5268,13.0,38.4,0.24244594011140794,35752.0,0.6566244211350631,19798228.0,2908471.0,14.690562205870142,1,0
North Carolina,34.0,352287.0,3.504449213155967,5.0,1182349,32.0,50320.0,35.5557,-79.3877,7.0,38.4,0.31832674728556815,28123.0,0.6963397596871803,10052564.0,1579871.0,15.716099892524932,0,1
North Dakota,0.0,11085.0,1.4869713940776015,5.5,70548,2.0,61285.0,47.4501,-100.4659,0.0,35.1,0.26828532143935074,34256.0,0.0,745475.0,79374.0,10.647439551963513,0,1
Ohio,117.0,378735.0,3.2622132627076743,4.5,596389,31.0,52407.0,40.2862,-82.7937,21.0,39.3,0.2670168089665278,29011.0,1.8088235446119625,11609756.0,1683890.0,14.504094659698275,1,0
Oklahoma,5.0,105375.0,2.704522886230892,5.5,348495,10.0,49767.0,35.5889,-97.4943,1.0,36.3,0.2566569761547703,26461.0,0.2566569761547703,3896251.0,612714.0,15.725732248769393,0,1
Oregon,0.0,138139.0,3.4319165581607733,3.0,243044,18.0,56119.0,43.9336,-120.5583,0.0,39.2,0.4471908588225912,30410.0,0.0,4025127.0,587248.0,14.589552081213835,1,0
Pennsylvania,67.0,422016.0,3.2994475198594584,3.0,899241,36.0,56951.0,40.8781,-77.7996,15.0,40.7,0.28145878524733775,31476.0,1.172744938530574,12790505.0,1623537.0,12.693298661780752,1,0
Rhode Island,0.0,38634.0,3.658044687341995,1.0,20400,3.0,61043.0,41.6762,-71.5562,0.0,39.9,0.2840537884253762,33315.0,0.0,1056138.0,136126.0,12.889035334397589,1,0
South Carolina,37.0,170257.0,3.4792877981233667,5.5,289764,14.0,48781.0,33.9169,-80.8964,7.0,39.0,0.28609707191908196,26645.0,1.4304853595954097,4893444.0,790657.0,16.157475185166113,0,1
South Dakota,0.0,17018.0,1.9893762771145744,5.5,83659,7.0,54126.0,44.4443,-100.2263,0.0,36.8,0.8182885145024104,28761.0,0.0,855444.0,114885.0,13.429867998372774,0,1
Tennessee,70.0,210756.0,3.194540378977658,5.0,533394,37.0,48708.0,35.858000000000004,-86.3505,14.0,38.6,0.5608286075944379,27277.0,2.122054190897873,6597381.0,1072360.0,16.25432880108031,0,1
Texas,150.0,784888.0,2.86250585894505,5.5,1465992,66.0,57051.0,31.4757,-99.3312,22.0,34.3,0.24070362483612093,28985.0,0.8023454161204031,27419612.0,4291384.0,15.650783096420183,0,1
Utah,5.0,64314.0,2.1481385237718444,5.5,263812,3.0,65325.0,39.3055,-111.6703,1.0,30.5,0.10020237539751117,26907.0,0.33400791799170393,2993941.0,324856.0,10.850447620711297,0,1
Vermont,0.0,14969.0,2.3964356841424443,5.5,31502,2.0,57808.0,44.0687,-72.6658,0.0,42.8,0.32018647660397415,31917.0,0.0,624636.0,68144.0,10.909393630850607,1,0
Virginia,58.0,236648.0,2.828703774537554,4.5,419764,37.0,68766.0,37.5215,-78.8537,12.0,38.0,0.442268853562631,36268.0,1.4343854710139385,8365952.0,906838.0,10.839627098027815,1,0
Washington,14.0,218821.0,3.0519108386412377,1.5,482115,26.0,66174.0,47.3826,-120.4472,3.0,37.6,0.36262370524160015,34869.0,0.41841196758646165,7169967.0,859950.0,11.993779050865925,1,0
West Virginia,0.0,57659.0,3.1390271242561285,5.5,221847,4.0,44061.0,38.6409,-80.6227,0.0,42.2,0.2177649369053316,24774.0,0.0,1836843.0,317089.0,17.262716519593674,0,1
Wisconsin,9.0,145271.0,2.520658167131309,3.5,334308,11.0,56759.0,44.6243,-89.9941,2.0,39.2,0.19086562244663005,30557.0,0.3470284044484183,5763217.0,692719.0,12.019658465055194,1,0
Wyoming,0.0,14459.0,2.4792524005486967,5.5,63063,1.0,60938.0,42.9957,-107.5512,0.0,37.0,0.17146776406035666,31214.0,0.0,583200.0,63398.0,10.87071330589849,0,1
Alabama,69.0,184479.0,3.8106331452518445,5.5,621305,27.0,44758.0,32.7794,-86.8287,15.0,38.6,0.55771711100884,24736.0,3.098428394493556,4841164.0,868666.0,17.943329331540927,0,1
Alaska,0.0,30139.0,4.090221278270487,5.5,87623,0.0,74444.0,64.0685,-152.2782,0.0,33.6,0.0,34191.0,0.0,736855.0,72826.0,9.88335561270535,0,1
Arizona,27.0,249972.0,3.7150797263671054,5.5,310672,18.0,51340.0,34.2744,-111.6602,4.0,37.1,0.267515702057062,26686.0,0.5944793379045822,6728577.0,1165636.0,17.323662937943638,0,1
Arkansas,14.0,93190.0,3.1393255520011643,5.5,234282,16.0,42336.0,34.8938,-92.4426,3.0,37.7,0.5389978413136456,23401.0,1.0106209524630854,2968472.0,542431.0,18.27307112885013,0,1
California,228.0,1683726.0,4.355867508958792,0.0,1474616,79.0,63783.0,37.1841,-119.4696,46.0,36.0,0.20437620682209848,31458.0,1.1900386726350038,38654206.0,6004257.0,15.533256587911804,1,0
Colorado,16.0,171695.0,3.203686305754768,3.0,413284,16.0,62520.0,38.9972,-105.5478,4.0,36.4,0.29854673049346975,33230.0,0.7463668262336743,5359295.0,637938.0,11.903394009846444,1,0
Connecticut,36.0,155005.0,4.319408566643538,0.5,270297,5.0,71755.0,41.6219,-72.7273,6.0,40.6,0.13933126565735096,39906.0,1.6719751878882119,3588570.0,360464.0,10.044781068782273,1,0
Delaware,9.0,33669.0,3.6021375956862935,1.5,42950,4.0,61017.0,38.9896,-75.505,2.0,39.6,0.42794708434302103,31118.0,2.139735421715105,934695.0,109448.0,11.70948812179374,1,0
District of Columbia,25.0,33326.0,5.0569870821187575,3.0,512,21.0,72935.0,38.9101,-77.0147,5.0,33.8,3.1866029143759795,48781.0,7.587149796133286,659009.0,112060.0,17.00432012309392,1,0
Florida,267.0,802016.0,4.023266053326475,5.5,1034546,63.0,48900.0,28.6305,-82.4497,30.0,41.6,0.3160357915048676,27598.0,1.5049323404993697,19934451.0,3139258.0,15.747902964571233,1,0
Georgia,81.0,419113.0,4.149913063453777,5.5,484580,32.0,51037.0,32.6415,-83.4426,17.0,36.2,0.3168530158466114,26678.0,1.6832816466851235,10099320.0,1746894.0,17.297144758260952,0,1
Hawaii,0.0,38768.0,2.7423597960773107,0.5,15225,0.0,71977.0,20.2927,-156.3737,0.0,38.5,0.0,30970.0,0.0,1413673.0,148577.0,10.509997715171755,1,0
Idaho,0.0,48385.0,2.9584532520362488,5.5,131742,12.0,49174.0,44.3509,-114.613,0.0,35.7,0.7337282013937168,24280.0,0.0,1635483.0,244585.0,14.954909344823516,0,1
Illinois,190.0,545635.0,4.245630378088973,1.0,1344096,32.0,59196.0,40.0417,-89.1965,42.0,37.4,0.24899460646558072,31502.0,3.268054209860747,12851684.0,1753731.0,13.645923755984041,1,0
Indiana,33.0,228929.0,3.4741071431281334,5.0,647550,26.0,50433.0,39.8942,-86.2816,8.0,37.4,0.39456244390763723,26117.0,1.214038288946576,6589578.0,957694.0,14.533464813680027,0,1
