States,Mass Shooting Count,Total_Victims,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rates,Unemployment Count,Unemployment Rates,Latitude,Longitude,Per Capita Mass Shooting,Hate Group Count,Per Capita Hate Group,GRADE number
Alabama,2.0,10.0,01,4817678.0,38.2,43511.0,23936.0,889710.0,18.46761033012169,228716.0,4.747432269238417,32.7794,-86.8287,0.41513774893216193,18.0,0.37362397403894576,5.5
Alaska,1.0,6.0,02,728300.0,33.4,71829.0,33129.0,71866.0,9.867636962790058,32097.0,4.407112453659207,64.0685,-152.2782,1.3730605519703418,0.0,0.0,5.5
Arizona,1.0,4.0,04,6561516.0,36.5,49928.0,25537.0,1169309.0,17.820713993534422,304067.0,4.634096754469546,34.2744,-111.6602,0.15240380424279998,16.0,0.24384608678847997,5.5
Arkansas,2.0,12.0,05,2947036.0,37.6,41264.0,22595.0,549303.0,18.639168303339357,115090.0,3.905279745479865,34.8938,-92.4426,0.678647970367515,20.0,0.678647970367515,5.5
California,42.0,208.0,06,38066920.0,35.6,61489.0,29906.0,6115244.0,16.064457014121448,2084564.0,5.476051122601986,37.1841,-119.4696,1.1033201530357593,57.0,0.14973630648342445,0.5
Colorado,2.0,9.0,08,5197580.0,36.2,59448.0,31674.0,663861.0,12.772501818153833,219241.0,4.21813613258478,38.9972,-105.5478,0.3847944620381023,15.0,0.2885958465285768,3.5
Connecticut,1.0,5.0,09,3592053.0,40.3,69899.0,38480.0,364740.0,10.154081802245123,186587.0,5.19443894619595,41.6219,-72.7273,0.27839232884370024,3.0,0.08351769865311007,0.5
District of Columbia,6.0,27.0,11,633736.0,33.7,69235.0,46502.0,109378.0,17.259237284926215,38496.0,6.074453715742833,38.9101,-77.0147,9.46766476892586,16.0,2.5247106050468964,3.0
Florida,16.0,91.0,12,19361792.0,41.2,47212.0,26499.0,3159259.0,16.316976238563043,1024905.0,5.29344081374286,28.6305,-82.4497,0.8263697905648403,50.0,0.2582405595515126,5.5
Georgia,17.0,85.0,13,9907756.0,35.8,49342.0,25427.0,1781388.0,17.97973224209397,519291.0,5.2412574552703965,32.6415,-83.4426,1.7158274789972623,28.0,0.28260687889366676,5.5
Illinois,26.0,128.0,17,12868747.0,37.0,57166.0,30019.0,1810470.0,14.068735674110307,669561.0,5.203000727265833,40.0417,-89.1965,2.0203987225795954,21.0,0.1631860506698904,1.0
Indiana,8.0,38.0,18,6542411.0,37.2,48737.0,24953.0,983826.0,15.037667306441005,290469.0,4.439785271821046,39.8942,-86.2816,1.2227908029623942,16.0,0.24455816059247884,5.0
Kentucky,4.0,16.0,21,4383272.0,38.3,43342.0,23741.0,803866.0,18.339404901178845,192877.0,4.4002973121449,37.5347,-85.3021,0.9125602974216522,16.0,0.3650241189686609,5.5
Louisiana,11.0,60.0,22,4601049.0,36.0,44991.0,24775.0,874638.0,19.009534564835107,189644.0,4.121755712664656,31.0689,-91.9968,2.390759150793656,15.0,0.32601261147186217,5.5
Maine,1.0,5.0,23,1328535.0,43.5,48804.0,27332.0,179878.0,13.53957554750157,51931.0,3.9088921255367755,45.3695,-69.2428,0.7527088108329852,2.0,0.15054176216659704,5.5
Maryland,1.0,4.0,24,5887776.0,38.1,74149.0,36670.0,573383.0,9.738532851793275,257918.0,4.380567467240602,39.055,-76.7909,0.1698434179561179,15.0,0.25476512693417686,0.5
Massachusetts,4.0,20.0,25,6657291.0,39.3,67846.0,36441.0,742784.0,11.157451281609893,309050.0,4.642278668605593,42.2596,-71.8083,0.6008449983634484,13.0,0.19527462446812077,0.5
Michigan,11.0,51.0,26,9889024.0,39.3,49087.0,26143.0,1633316.0,16.516452988687256,554747.0,5.609724478371172,44.3467,-85.4102,1.1123443526883947,15.0,0.15168332082114475,3.0
Minnesota,1.0,9.0,27,5383661.0,37.6,60828.0,31642.0,605761.0,11.251841451384104,192010.0,3.5665321423470013,46.2807,-94.3053,0.18574720808015216,8.0,0.14859776646412173,3.0
Mississippi,4.0,19.0,28,2984345.0,36.3,39464.0,20956.0,653726.0,21.905175172441524,147210.0,4.932740685141966,32.7364,-89.6678,1.3403276095759706,22.0,0.7371801852667839,5.5
Missouri,8.0,37.0,29,6028076.0,38.1,47764.0,26006.0,912291.0,15.134032815777372,254534.0,4.222474965478206,38.3566,-92.458,1.3271232811265155,19.0,0.3151917792675474,5.5
Nevada,4.0,17.0,32,2761584.0,36.9,52205.0,26515.0,423578.0,15.338226177440193,166167.0,6.017090191716059,39.3289,-116.6312,1.4484440813677948,6.0,0.21726661220516919,5.5
New Jersey,6.0,29.0,34,8874374.0,39.3,72062.0,36359.0,934665.0,10.532179509225102,453097.0,5.105678439966582,40.1907,-74.6728,0.6761040271685642,40.0,0.4507360181123761,0.5
New Mexico,1.0,4.0,35,2080085.0,36.8,44968.0,23948.0,426116.0,20.485509005641596,93106.0,4.476067083797056,34.4071,-106.1126,0.4807495847525462,3.0,0.14422487542576387,5.5
New York,14.0,60.0,36,19594330.0,38.1,58687.0,32829.0,2978521.0,15.200933127083191,893092.0,4.557910375093203,42.9538,-75.5268,0.7144924067319474,44.0,0.22455475640146919,0.5
North Carolina,3.0,14.0,37,9750405.0,37.8,46693.0,25608.0,1669147.0,17.118745323912187,505668.0,5.186123037966115,35.5557,-79.3877,0.30767952715810265,24.0,0.24614362172648213,5.5
Ohio,7.0,33.0,39,11560380.0,39.1,48849.0,26520.0,1790564.0,15.488798811111746,536573.0,4.641482373416791,40.2862,-82.7937,0.6055164276606825,27.0,0.2335563363834061,4.5
Oklahoma,2.0,11.0,40,3818851.0,36.2,46235.0,24695.0,625508.0,16.379481681793816,124804.0,3.2681034164464653,35.5889,-97.4943,0.5237177360415476,11.0,0.2880447548228512,5.5
Oregon,2.0,9.0,41,3900343.0,38.9,50521.0,27173.0,638816.0,16.378456971604805,206222.0,5.287278580371009,43.9336,-120.5583,0.5127754148801784,9.0,0.23074893669608032,4.0
Pennsylvania,9.0,46.0,42,12758729.0,40.4,53115.0,28912.0,1667858.0,13.072289567401267,556468.0,4.361468920611136,40.8781,-77.7996,0.7053994171362994,38.0,0.29783530945754866,3.0
Rhode Island,1.0,5.0,44,1053252.0,39.7,56423.0,30765.0,143996.0,13.671561981368182,53761.0,5.104286533517145,41.6762,-71.5562,0.9494403998283412,1.0,0.09494403998283411,1.0
South Carolina,7.0,36.0,45,4727273.0,38.3,45033.0,24222.0,840141.0,17.772212436218513,242145.0,5.122297781405897,33.9169,-80.8964,1.4807691453402416,19.0,0.4019230537352084,5.5
South Dakota,1.0,5.0,46,834708.0,36.8,50338.0,26311.0,114444.0,13.710662890495838,21364.0,2.5594579182181074,44.4443,-100.2263,1.1980237400384326,4.0,0.47920949601537305,5.5
Tennessee,13.0,61.0,47,6451365.0,38.3,44621.0,24811.0,1121344.0,17.38149988413305,296819.0,4.60087128847926,35.858000000000004,-86.3505,2.0150774293502227,29.0,0.4495172727012035,5.5
Texas,14.0,90.0,48,26092033.0,33.9,52576.0,26513.0,4500034.0,17.246774139830347,982580.0,3.7658238436230707,31.4757,-99.3312,0.5365622525465915,36.0,0.13797315065483784,5.5
Utah,2.0,11.0,49,2858111.0,29.9,59846.0,24312.0,358682.0,12.549617562089086,95738.0,3.3496949558642055,39.3055,-111.6703,0.6997628853463004,4.0,0.1399525770692601,5.5
Virginia,8.0,40.0,51,8185131.0,37.6,64792.0,33958.0,914237.0,11.169485253198758,293310.0,3.583449061475009,37.5215,-78.8537,0.9773820357914859,26.0,0.3176491616322329,4.5
Washington,3.0,16.0,53,6899123.0,37.4,60294.0,31233.0,916364.0,13.282325884029028,308955.0,4.4781778785506505,47.3826,-120.4472,0.4348378772200467,10.0,0.1449459590733489,2.0
Wisconsin,2.0,9.0,55,5724692.0,38.8,52738.0,27907.0,738557.0,12.901253028110508,221662.0,3.8720336395390356,44.6243,-89.9941,0.34936377363183907,10.0,0.17468188681591953,3.5
